COD_ESC;ZONA;MUN;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO M�DIO;EJA FUNDAMENTAL_AI;EJA FUNDAMENTAL_AF;EJA ENSINO MEDIO;
28204;1;NOVAIS;0;0;0;0;0;138;0;0;0;
30533;1;MAGDA;0;2;0;0;142;72;0;0;0;
26827;1;SAO JOAO DAS DUAS PONTES;0;3;0;0;119;60;0;0;0;
30752;1;GUZOLANDIA;0;1;0;0;231;142;0;0;0;
27418;1;ZACARIAS;0;4;0;0;146;72;0;4;0;
28548;1;SAO JOSE DO RIO PRETO;0;0;0;0;0;204;0;0;0;
28599;1;SAO JOSE DO RIO PRETO;0;0;0;0;423;0;0;0;0;
19768;1;JUNDIAI;0;15;0;0;398;376;0;58;94;
36006;1;JUNDIAI;0;23;0;0;304;167;0;0;0;
901283;1;LOUVEIRA;0;1;0;0;132;0;0;0;0;
47284;1;IRACEMAPOLIS;0;0;0;0;398;320;0;0;0;
20114;1;LIMEIRA;0;0;0;220;439;288;0;0;0;
48461;1;LIMEIRA;0;0;0;0;247;102;0;0;0;
21738;1;RIO CLARO;0;0;0;0;589;391;0;0;0;
21787;1;RIO CLARO;0;0;0;0;558;0;0;0;0;
911148;1;RIO CLARO;0;0;0;0;98;46;0;0;0;
917916;1;RIO CLARO;0;0;0;0;585;502;0;0;80;
17528;1;AMPARO;0;0;0;230;282;0;0;0;0;
20400;1;MOGI GUACU;0;17;0;0;183;147;0;0;0;
920757;1;MOGI GUACU;0;0;0;0;360;223;0;0;0;
48343;1;PIRACICABA;0;3;0;0;363;0;0;0;0;
901337;2;PIRACICABA;0;7;0;0;93;86;0;0;0;
914137;2;PIRACICABA;0;1;0;0;136;80;0;0;0;
19902;1;ARARAS;0;9;0;417;0;0;0;0;0;
901052;1;ARARAS;0;0;0;231;0;0;0;0;0;
21441;1;PIRASSUNUNGA;0;11;0;0;230;557;0;15;45;
920381;1;PIRASSUNUNGA;0;0;0;0;330;0;0;34;0;
907558;1;SANTA CRUZ DAS PALMEIRAS;0;0;0;0;361;202;0;0;0;
19240;1;CACONDE;0;0;0;92;94;51;0;0;27;
19215;1;MOCOCA;0;9;0;0;292;103;0;0;0;
919366;2;SANTO ANTONIO DO JARDIM;0;0;0;35;102;47;0;0;0;
904132;1;SAO JOAO DA BOA VISTA;0;4;0;0;126;72;0;0;0;
19324;2;SAO JOSE DO RIO PARDO;0;6;0;52;113;34;0;0;0;
24193;1;RIBEIRAO PRETO;0;0;0;634;0;0;0;0;0;
47466;1;RIBEIRAO PRETO;0;0;0;0;305;346;0;0;0;
48446;1;RIBEIRAO PRETO;0;22;0;479;0;0;0;0;0;
907873;1;RIBEIRAO PRETO;0;0;0;0;253;0;0;0;0;
454060;1;RIBEIRAO PRETO;0;0;0;0;0;0;8;16;21;
24314;1;SANTA ROSA DE VITERBO;0;0;0;0;0;405;0;9;64;
48458;1;SANTA ROSA DE VITERBO;0;0;0;0;260;162;0;15;62;
464831;2;SERRA AZUL;0;0;0;0;0;0;16;40;40;
24545;1;IBATE;0;2;0;0;261;47;0;0;0;
24512;1;SAO CARLOS;0;0;0;0;616;927;0;0;0;
127887;1;SAO CARLOS;0;0;0;0;327;226;0;0;33;
191528;2;SAO CARLOS;0;3;0;0;133;72;0;0;0;
457711;1;SAO CARLOS;0;0;0;0;0;0;0;0;0;
24909;1;TAQUARITINGA;0;3;0;0;308;0;0;0;0;
985545;1;TAQUARITINGA;0;0;0;0;0;0;0;0;0;
22755;1;PITANGUEIRAS;0;0;0;0;369;436;0;43;39;
25227;1;BAURU;0;1;0;430;0;0;0;0;0;
49645;1;BAURU;0;10;0;0;352;113;0;0;0;
70634;1;BAURU;0;3;0;244;314;179;0;0;0;
6153;1;BAURU;0;0;0;0;1;0;0;0;0;
25197;1;IACANGA;0;0;0;0;0;325;0;0;0;
458211;1;LENCOIS PAULISTA;0;0;0;0;0;0;0;0;0;
26062;1;BARRA BONITA;0;33;0;0;261;90;0;0;0;
909555;1;BROTAS;0;0;0;0;198;397;0;0;35;
985831;1;IGARACU DO TIETE;0;0;0;0;0;0;0;0;0;
25653;1;MINEIROS DO TIETE;0;13;0;0;563;395;0;0;72;
26086;1;LINS;0;4;0;379;0;0;0;0;0;
431597;1;PROMISSAO;0;0;0;0;490;0;0;0;0;
26943;1;MIRA ESTRELA;0;0;0;0;142;61;0;0;0;
28344;1;PALMEIRA D'OESTE;0;11;0;0;320;211;0;0;0;
985806;1;SANTA FE DO SUL;0;0;0;0;0;0;0;0;0;
28289;1;SANTA RITA D'OESTE;0;2;0;0;95;70;0;0;0;
28319;1;TRES FRONTEIRAS;0;6;0;0;285;159;0;0;0;
27212;1;URANIA;0;2;0;173;0;0;0;0;0;
27364;1;JACI;0;0;0;0;380;239;0;0;0;
27376;1;JOSE BONIFACIO;0;10;0;531;0;0;0;0;0;
8120;2;MIRASSOL;0;0;0;0;0;0;0;0;0;
27960;1;SALES;0;0;0;0;314;179;0;0;20;
918313;1;SAO JOSE DO RIO PRETO;0;0;0;0;625;459;0;0;0;
29269;1;CARDOSO;0;0;0;53;36;0;0;0;0;
27509;1;MACAUBAL;0;0;0;0;319;216;0;0;0;
27583;1;NHANDEARA;0;5;0;0;370;223;0;0;0;
29002;1;VOTUPORANGA;0;0;0;0;430;0;0;0;0;
918349;1;VOTUPORANGA;0;21;0;0;337;136;0;0;0;
909257;1;ARACATUBA;0;22;0;0;299;401;0;0;0;
29816;1;SANTO ANTONIO DO ARACANGUA;0;0;0;0;0;71;0;0;0;
446981;1;BIRIGUI;0;6;0;0;324;232;0;0;0;
30107;1;BREJO ALEGRE;0;14;0;0;171;86;0;0;0;
30296;1;PENAPOLIS;0;26;0;253;0;0;0;0;0;
31306;1;JUNQUEIROPOLIS;0;4;0;0;259;0;0;0;0;
454345;2;JUNQUEIROPOLIS;0;0;0;0;0;0;11;98;80;
49414;1;SUMARE;0;0;0;0;677;441;0;0;0;
925731;1;SUMARE;0;0;0;0;489;253;0;0;0;
39858;1;HORTOLANDIA;0;0;0;0;0;296;0;0;0;
48240;1;HORTOLANDIA;0;0;0;0;508;216;0;0;0;
924131;1;HORTOLANDIA;0;43;0;0;604;438;0;0;130;
18119;1;CAMPINAS;0;0;0;0;217;57;0;0;0;
912924;1;CAMPINAS;0;6;0;89;142;0;0;0;0;
914873;1;CAMPINAS;0;0;0;205;143;0;0;0;0;
18661;1;INDAIATUBA;0;0;0;0;471;456;0;90;152;
47788;1;INDAIATUBA;0;0;0;0;881;399;0;0;0;
913017;1;MONTE MOR;0;7;0;0;0;396;0;0;0;
22073;1;ARARAQUARA;0;0;0;0;285;82;0;0;0;
454072;1;ARARAQUARA;0;0;0;0;0;0;5;18;24;
462020;1;ARARAQUARA;0;0;0;0;0;0;0;0;0;
907741;2;BARRETOS;0;4;0;0;66;43;0;0;0;
48012;1;COLINA;0;2;0;0;0;375;0;0;0;
22287;1;JABORANDI;0;0;0;0;0;158;0;0;0;
23176;1;FRANCA;0;17;0;0;497;525;0;0;0;
