COD_ESC;ZONA;MUN;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO M�DIO;EJA FUNDAMENTAL_AI;EJA FUNDAMENTAL_AF;EJA ENSINO MEDIO;
920435;2;CACHOEIRA PAULISTA;0;0;0;0;34;30;0;0;0;
40836;1;PINDAMONHANGABA;0;0;0;0;0;89;0;132;0;
908046;1;PINDAMONHANGABA;0;8;0;0;242;159;0;0;0;
5685;1;MAIRIPORA;0;16;0;0;391;393;0;0;203;
6063;1;GUARULHOS;0;60;0;360;609;711;0;0;0;
191218;1;GUARULHOS;0;0;0;286;693;0;0;0;0;
297513;1;GUARULHOS;0;0;0;569;143;0;0;0;0;
904399;1;GUARULHOS;0;0;0;385;0;0;0;0;0;
908859;1;GUARULHOS;0;0;0;648;0;0;0;0;91;
916845;1;GUARULHOS;0;16;0;469;674;0;0;0;0;
925123;1;GUARULHOS;0;0;0;0;556;306;0;0;0;
417695;1;GUARULHOS;0;0;0;0;0;0;0;0;0;
5988;1;GUARULHOS;0;0;0;0;468;331;0;0;214;
6506;1;GUARULHOS;0;32;0;0;236;151;0;0;0;
36687;1;GUARULHOS;0;11;0;0;0;689;0;0;0;
41889;1;GUARULHOS;0;3;0;634;0;0;0;0;0;
46395;1;GUARULHOS;0;18;0;487;0;0;0;0;0;
79893;1;GUARULHOS;0;0;0;0;184;429;0;0;0;
906268;1;GUARULHOS;0;0;0;0;726;0;0;0;0;
923424;1;GUARULHOS;0;24;0;0;596;386;0;0;0;
6661;1;MOGI DAS CRUZES;0;11;0;0;550;940;0;0;0;
6713;1;MOGI DAS CRUZES;0;0;0;0;0;1112;0;0;0;
901945;1;MOGI DAS CRUZES;0;15;0;0;373;221;0;0;0;
7274;1;FERRAZ DE VASCONCELOS;0;8;0;0;319;145;0;0;0;
906311;1;FERRAZ DE VASCONCELOS;0;0;0;0;397;279;0;0;0;
908460;1;SUZANO;0;10;0;0;387;495;0;24;143;
45007;1;ITAQUAQUECETUBA;0;0;0;0;453;377;0;51;124;
7298;1;POA;0;0;0;0;597;668;0;0;0;
7523;1;DIADEMA;0;0;0;0;709;365;0;0;0;
910569;1;JUQUITIBA;0;0;0;211;181;0;0;0;0;
40551;1;BARUERI;0;0;0;0;0;167;0;0;237;
908836;1;BARUERI;0;0;0;0;0;326;0;0;0;
48975;1;ITAPEVI;0;0;0;0;629;381;0;0;0;
910454;1;ITAPEVI;0;0;0;0;659;238;0;0;0;
921439;1;ITAPEVI;0;0;0;0;785;497;0;0;0;
10807;1;OSASCO;0;0;0;0;307;195;0;0;0;
11149;1;OSASCO;0;0;0;0;437;0;0;0;0;
924040;1;OSASCO;0;0;0;0;323;153;0;0;0;
10066;1;EMBU DAS ARTES;0;0;0;0;252;188;0;0;88;
10078;1;EMBU DAS ARTES;0;0;0;493;0;0;0;0;0;
44830;1;EMBU DAS ARTES;0;0;0;325;0;0;0;0;0;
122245;1;EMBU DAS ARTES;0;0;0;0;392;0;0;0;0;
906475;1;EMBU DAS ARTES;0;0;0;0;484;368;0;0;0;
912578;1;EMBU DAS ARTES;0;0;0;122;116;0;0;0;0;
906448;1;TABOAO DA SERRA;0;0;0;0;428;242;0;0;462;
11538;1;GUARUJA;0;0;0;58;420;0;0;0;0;
11678;1;GUARUJA;0;0;0;325;345;0;0;0;0;
37217;1;GUARUJA;0;0;0;0;482;722;0;0;0;
46164;1;SANTOS;0;0;0;0;236;954;0;0;132;
42171;1;PRAIA GRANDE;0;0;0;0;0;383;0;42;127;
469798;1;PRAIA GRANDE;2;0;0;7;2;0;0;0;0;
45378;1;GUARATINGUETA;0;7;0;0;180;103;0;0;56;
901519;1;PINDAMONHANGABA;0;0;0;0;548;0;0;0;0;
922614;1;PINDAMONHANGABA;0;0;0;0;106;92;0;0;80;
922626;1;PINDAMONHANGABA;0;0;0;0;397;233;0;59;64;
10686;1;OSASCO;0;0;0;0;801;420;0;0;0;
10868;1;OSASCO;0;11;0;0;1060;517;0;0;0;
10873;1;OSASCO;0;0;0;0;443;325;0;0;0;
11010;1;OSASCO;0;10;0;0;735;486;0;0;0;
11095;1;OSASCO;0;20;0;0;879;1108;0;0;0;
38600;1;EMBU DAS ARTES;0;0;0;313;256;149;0;0;0;
923758;1;EMBU DAS ARTES;0;0;0;0;387;0;0;0;0;
923898;1;EMBU DAS ARTES;0;6;0;0;190;0;0;0;0;
921154;1;TABOAO DA SERRA;0;0;0;143;159;73;0;0;0;
11423;1;CUBATAO;0;0;0;0;461;903;0;0;255;
11435;1;CUBATAO;0;27;0;0;0;95;0;0;0;
